Date,Actual Home Loan Interest Rate,Raw Australia Historic Variable Home Loan Interest Rate,Adjusted Australia Historic Variable Home Loan Interest Rate,High Interest Savings Account Rate
YYYY-MM-DD,%,%,%,%
1/01/1959,,5,3.6,2.2
1/02/1959,,5,3.6,2.2
1/03/1959,,5,3.6,2.2
1/04/1959,,5,3.6,2.2
1/05/1959,,5,3.6,2.2
1/06/1959,,5,3.6,2.2
1/07/1959,,5,3.6,2.2
1/08/1959,,5,3.6,2.2
1/09/1959,,5,3.6,2.2
1/10/1959,,5,3.6,2.2
1/11/1959,,5,3.6,2.2
1/12/1959,,5,3.6,2.2
1/01/1960,,5,3.6,2.2
1/02/1960,,5,3.6,2.2
1/03/1960,,5,3.6,2.2
1/04/1960,,5,3.6,2.2
1/05/1960,,5,3.6,2.2
1/06/1960,,5,3.6,2.2
1/07/1960,,5,3.6,2.2
1/08/1960,,5,3.6,2.2
1/09/1960,,5,3.6,2.2
1/10/1960,,5,3.6,2.2
1/11/1960,,5,3.6,2.2
1/12/1960,,5,3.6,2.2
1/01/1961,,5.5,4.1,2.2
1/02/1961,,5.5,4.1,2.2
1/03/1961,,5.5,4.1,2.2
1/04/1961,,5.5,4.1,2.2
1/05/1961,,5.5,4.1,2.2
1/06/1961,,5.5,4.1,2.2
1/07/1961,,5.5,4.1,2.2
1/08/1961,,5.5,4.1,2.2
1/09/1961,,5.5,4.1,2.2
1/10/1961,,5.5,4.1,2.2
1/11/1961,,5.5,4.1,2.2
1/12/1961,,5.5,4.1,2.2
1/01/1962,,5.5,4.1,2.2
1/02/1962,,5.5,4.1,2.2
1/03/1962,,5.5,4.1,2.2
1/04/1962,,5.5,4.1,2.2
1/05/1962,,5.5,4.1,2.2
1/06/1962,,5.5,4.1,2.2
1/07/1962,,5.5,4.1,2.2
1/08/1962,,5.5,4.1,2.2
1/09/1962,,5.5,4.1,2.2
1/10/1962,,5.5,4.1,2.2
1/11/1962,,5.5,4.1,2.2
1/12/1962,,5.5,4.1,2.2
1/01/1963,,5.5,4.1,2.2
1/02/1963,,5.5,4.1,2.2
1/03/1963,,5.5,4.1,2.2
1/04/1963,,5,3.6,2.2
1/05/1963,,5,3.6,2.2
1/06/1963,,5,3.6,2.2
1/07/1963,,5,3.6,2.2
1/08/1963,,5,3.6,2.2
1/09/1963,,5,3.6,2.2
1/10/1963,,5,3.6,2.2
1/11/1963,,5,3.6,2.2
1/12/1963,,5,3.6,2.2
1/01/1964,,5,3.6,2.2
1/02/1964,,5,3.6,2.2
1/03/1964,,5,3.6,2.2
1/04/1964,,5,3.6,2.2
1/05/1964,,5,3.6,2.2
1/06/1964,,5.13,3.73,2.2
1/07/1964,,5.13,3.73,2.2
1/08/1964,,5.13,3.73,2.2
1/09/1964,,5.13,3.73,2.2
1/10/1964,,5.13,3.73,2.2
1/11/1964,,5.13,3.73,2.2
1/12/1964,,5.13,3.73,2.2
1/01/1965,,5.13,3.73,2.2
1/02/1965,,5.13,3.73,2.2
1/03/1965,,5.13,3.73,2.2
1/04/1965,,5.38,3.98,2.2
1/05/1965,,5.38,3.98,2.2
1/06/1965,,5.38,3.98,2.2
1/07/1965,,5.38,3.98,2.2
1/08/1965,,5.38,3.98,2.2
1/09/1965,,5.38,3.98,2.2
1/10/1965,,5.38,3.98,2.2
1/11/1965,,5.38,3.98,2.2
1/12/1965,,5.38,3.98,2.2
1/01/1966,,5.38,3.98,2.2
1/02/1966,,5.38,3.98,2.2
1/03/1966,,5.38,3.98,2.2
1/04/1966,,5.38,3.98,2.2
1/05/1966,,5.38,3.98,2.2
1/06/1966,,5.38,3.98,2.2
1/07/1966,,5.38,3.98,2.2
1/08/1966,,5.38,3.98,2.2
1/09/1966,,5.38,3.98,2.2
1/10/1966,,5.38,3.98,2.2
1/11/1966,,5.38,3.98,2.2
1/12/1966,,5.38,3.98,2.2
1/01/1967,,5.38,3.98,2.2
1/02/1967,,5.38,3.98,2.2
1/03/1967,,5.38,3.98,2.2
1/04/1967,,5.38,3.98,2.2
1/05/1967,,5.38,3.98,2.2
1/06/1967,,5.38,3.98,2.2
1/07/1967,,5.38,3.98,2.2
1/08/1967,,5.38,3.98,2.2
1/09/1967,,5.38,3.98,2.2
1/10/1967,,5.38,3.98,2.2
1/11/1967,,5.38,3.98,2.2
1/12/1967,,5.38,3.98,2.2
1/01/1968,,5.38,3.98,2.2
1/02/1968,,5.38,3.98,2.2
1/03/1968,,5.38,3.98,2.2
1/04/1968,,5.38,3.98,2.2
1/05/1968,,5.38,3.98,2.2
1/06/1968,,5.38,3.98,2.2
1/07/1968,,5.38,3.98,2.2
1/08/1968,,5.88,4.48,2.2
1/09/1968,,5.88,4.48,2.2
1/10/1968,,5.88,4.48,2.2
1/11/1968,,5.88,4.48,2.2
1/12/1968,,5.88,4.48,2.2
1/01/1969,,5.88,4.48,2.2
1/02/1969,,5.88,4.48,2.2
1/03/1969,,5.88,4.48,2.2
1/04/1969,,5.88,4.48,2.2
1/05/1969,,5.88,4.48,2.2
1/06/1969,,5.88,4.48,2.2
1/07/1969,,5.88,4.48,2.2
1/08/1969,,5.88,4.48,2.2
1/09/1969,,5.88,4.48,2.2
1/10/1969,,5.88,4.48,2.2
1/11/1969,,5.88,4.48,2.2
1/12/1969,,5.88,4.48,2.2
1/01/1970,,5.88,4.48,2.2
1/02/1970,,5.88,4.48,2.2
1/03/1970,,5.88,4.48,2.2
1/04/1970,,7.25,5.85,2.2
1/05/1970,,7.25,5.85,2.2
1/06/1970,,7.25,5.85,2.2
1/07/1970,,7.25,5.85,2.2
1/08/1970,,7.25,5.85,2.2
1/09/1970,,7.25,5.85,2.2
1/10/1970,,7.25,5.85,2.2
1/11/1970,,7.25,5.85,2.2
1/12/1970,,7.25,5.85,2.2
1/01/1971,,7.25,5.85,2.2
1/02/1971,,7.25,5.85,2.2
1/03/1971,,7.25,5.85,2.2
1/04/1971,,7.25,5.85,2.2
1/05/1971,,7.25,5.85,2.2
1/06/1971,,7.25,5.85,2.2
1/07/1971,,7.25,5.85,2.2
1/08/1971,,7.25,5.85,2.2
1/09/1971,,7.25,5.85,2.2
1/10/1971,,7.25,5.85,2.2
1/11/1971,,7.25,5.85,2.2
1/12/1971,,7.25,5.85,2.2
1/01/1972,,7.25,5.85,2.2
1/02/1972,,7,5.6,2.2
1/03/1972,,7,5.6,2.2
1/04/1972,,7,5.6,2.2
1/05/1972,,7,5.6,2.2
1/06/1972,,7,5.6,2.2
1/07/1972,,7,5.6,2.2
1/08/1972,,7,5.6,2.2
1/09/1972,,7,5.6,2.2
1/10/1972,,7,5.6,2.2
1/11/1972,,7,5.6,2.2
1/12/1972,,7,5.6,2.2
1/01/1973,,7,5.6,2.2
1/02/1973,,7,5.6,2.2
1/03/1973,,7,5.6,2.2
1/04/1973,,7,5.6,2.2
1/05/1973,,7,5.6,2.2
1/06/1973,,7,5.6,2.2
1/07/1973,,7,5.6,2.2
1/08/1973,,7,5.6,2.2
1/09/1973,,7,5.6,2.2
1/10/1973,,8.38,6.98,2.2
1/11/1973,,8.38,6.98,2.2
1/12/1973,,8.38,6.98,2.2
1/01/1974,,8.38,6.98,2.2
1/02/1974,,8.38,6.98,2.2
1/03/1974,,8.38,6.98,2.2
1/04/1974,,8.38,6.98,2.2
1/05/1974,,8.38,6.98,2.2
1/06/1974,,8.38,6.98,2.2
1/07/1974,,10.38,8.98,2.2
1/08/1974,,10.38,8.98,2.2
1/09/1974,,10.38,8.98,2.2
1/10/1974,,10.38,8.98,2.2
1/11/1974,,10.38,8.98,2.2
1/12/1974,,10.38,8.98,2.2
1/01/1975,,10.38,8.98,2.2
1/02/1975,,10.38,8.98,2.2
1/03/1975,,10.38,8.98,2.2
1/04/1975,,10.13,8.73,2.2
1/05/1975,,10.13,8.73,2.2
1/06/1975,,10.13,8.73,2.2
1/07/1975,,10.13,8.73,2.2
1/08/1975,,10.13,8.73,2.2
1/09/1975,,10.38,8.98,2.2
1/10/1975,,10.38,8.98,2.2
1/11/1975,,10.38,8.98,2.2
1/12/1975,,10.38,8.98,2.2
1/01/1976,,10.38,8.98,2.2
1/02/1976,,9.88,8.48,2.2
1/03/1976,,9.88,8.48,2.2
1/04/1976,,9.88,8.48,2.2
1/05/1976,,9.88,8.48,2.2
1/06/1976,,9.88,8.48,2.2
1/07/1976,,9.88,8.48,2.2
1/08/1976,,9.88,8.48,2.2
1/09/1976,,9.88,8.48,2.2
1/10/1976,,9.88,8.48,2.2
1/11/1976,,9.88,8.48,2.2
1/12/1976,,9.88,8.48,2.2
1/01/1977,,9.88,8.48,2.2
1/02/1977,,9.88,8.48,2.2
1/03/1977,,9.88,8.48,2.2
1/04/1977,,9.88,8.48,2.2
1/05/1977,,9.88,8.48,2.2
1/06/1977,,9.88,8.48,2.2
1/07/1977,,9.88,8.48,2.2
1/08/1977,,9.88,8.48,2.2
1/09/1977,,9.88,8.48,2.2
1/10/1977,,9.88,8.48,2.2
1/11/1977,,9.88,8.48,2.2
1/12/1977,,9.88,8.48,2.2
1/01/1978,,9.63,8.23,2.2
1/02/1978,,9.38,7.98,2.2
1/03/1978,,9.38,7.98,2.2
1/04/1978,,9.38,7.98,2.2
1/05/1978,,9.38,7.98,2.2
1/06/1978,,9.38,7.98,2.2
1/07/1978,,9.38,7.98,2.2
1/08/1978,,9.38,7.98,2.2
1/09/1978,,9.38,7.98,2.2
1/10/1978,,9.38,7.98,2.2
1/11/1978,,9.38,7.98,2.2
1/12/1978,,9.13,7.73,2.2
1/01/1979,,9.13,7.73,2.2
1/02/1979,,9.13,7.73,2.2
1/03/1979,,9.13,7.73,2.2
1/04/1979,,9.13,7.73,2.2
1/05/1979,,9.13,7.73,2.2
1/06/1979,,9.13,7.73,2.2
1/07/1979,,9.13,7.73,2.2
1/08/1979,,9.13,7.73,2.2
1/09/1979,,9.13,7.73,2.2
1/10/1979,,9.13,7.73,2.2
1/11/1979,,9.13,7.73,2.2
1/12/1979,,9.13,7.73,2.2
1/01/1980,,9.13,7.73,2.2
1/02/1980,,9.13,7.73,2.2
1/03/1980,,9.63,8.23,2.2
