Date,"90A Fourth Ave, Mount Lawley, Perth, WA, Australia"
YYYY-MM-DD,
1/08/2021,875696.0353
1/09/2021,878551.7859
1/10/2021,881319.2914
1/11/2021,884183.0509
1/12/2021,886958.3044
1/01/2022,889830.0673
1/02/2022,892705.8953
1/03/2022,895306.9103
1/04/2022,898190.4712
1/05/2022,900984.8807
1/06/2022,903876.4313
1/07/2022,906678.57
1/08/2022,909578.1046
1/09/2022,912481.6947
1/10/2022,915295.4804
1/11/2022,918207.0463
1/12/2022,921028.548
1/01/2023,923948.0842
1/02/2023,926871.6689
1/03/2023,929515.8045
1/04/2023,932447.0904
1/05/2023,935287.6695
1/06/2023,938226.9123
1/07/2023,941075.189
1/08/2023,944022.3833
1/09/2023,946973.6166
1/10/2023,949833.4931
1/11/2023,952792.6699
1/12/2023,955660.231
1/01/2024,958627.346
1/02/2024,961598.493
1/03/2024,964381.6022
1/04/2024,967360.5495
1/05/2024,970247.237
1/06/2024,973234.1092
1/07/2024,976128.4635
1/08/2024,979123.2555
1/09/2024,982122.0702
1/10/2024,985027.9779
1/11/2024,988034.7045
1/12/2024,990948.2663
1/01/2025,993962.8995
1/02/2025,996981.5489
1/03/2025,999711.5218
1/04/2025,1002737.811
1/05/2025,1005670.298
1/06/2025,1008704.482
1/07/2025,1011644.606
1/08/2025,1014686.677
1/09/2025,1017732.756
1/10/2025,1020684.389
1/11/2025,1023738.349
1/12/2025,1026697.605
1/01/2026,1029759.441
1/02/2026,1032825.278
1/03/2026,1035597.858
1/04/2026,1038671.305
1/05/2026,1041649.414
1/06/2026,1044730.724
1/07/2026,1047716.441
1/08/2026,1050805.609
1/09/2026,1053898.77
1/10/2026,1056895.95
1/11/2026,1059996.962
1/12/2026,1063001.738
1/01/2027,1066110.595
1/02/2027,1069223.438
1/03/2027,1072038.462
1/04/2027,1075158.887
1/05/2027,1078182.443
1/06/2027,1081310.701
1/07/2027,1084341.836
1/08/2027,1087477.923
1/09/2027,1090617.987
1/10/2027,1093660.543
1/11/2027,1096808.428
1/12/2027,1099858.552
1/01/2028,1103014.253
1/02/2028,1106173.925
1/03/2028,1109133.341
1/04/2028,1112300.695
1/05/2028,1115369.653
1/06/2028,1118544.811
1/07/2028,1121621.319
1/08/2028,1124804.277
1/09/2028,1127991.197
1/10/2028,1131079.084
1/11/2028,1134273.797
1/12/2028,1137369.223
1/01/2029,1140571.724
1/02/2029,1143778.18
1/03/2029,1146677.733
1/04/2029,1149891.715
1/05/2029,1153005.784
1/06/2029,1156227.542
1/07/2029,1159349.134
